方法,迭代次数,目标函数值,视觉质量,节水效率,生态价值,经济性
梯度下降,0,-0.40283796780995196,0.5035000000001006,0.5030000000000863,0.5025000000000719,0.49899999999997124
梯度下降,1,-0.4056308307231074,0.5070345429195595,0.5058815717607352,0.504997500000492,0.4979999999999425
梯度下降,2,-0.40838438141170663,0.5106039654243495,0.5086494294615491,0.50749250250065,0.49699999999991373
梯度下降,3,-0.41110402078943137,0.5142086030116562,0.5113081317343333,0.5099850099985477,0.495999999999885
梯度下降,4,-0.41379478325355207,0.5178487897375956,0.513862080105731,0.5124750249888561,0.4949999999998562
梯度下降,5,-0.41646136126117644,0.5215248579304994,0.5163155187721253,0.5149625499643036,0.49399999999982747
梯度下降,6,-0.41910812902302913,0.5252371378919869,0.5186725354764383,0.5174475874145652,0.4929999999997987
梯度下降,7,-0.42173916516463655,0.5289859575847151,0.5209370632942019,0.5199301398273732,0.49199999999976995
梯度下降,8,-0.42435827425167805,0.5327716423062507,0.5231128831548744,0.5224102096876844,0.4909999999997412
梯度下降,9,-0.42696900712147134,0.5365945143510071,0.5252036269549061,0.5248877994785124,0.48999999999971244
梯度下降,10,-0.42957467998782056,0.5404548926541404,0.5272127811312695,0.5273629116795404,0.4889999999996837
梯度下降,11,-0.432178392320436,0.5443530924251756,0.5291436905894282,0.5298355487682311,0.48799999999965493
梯度下降,12,-0.43478304351157127,0.5482894247649801,0.5309995628955395,0.5323057132198268,0.4869999999996262
梯度下降,13,-0.43739134836015225,0.5522641962683035,0.5327834726515652,0.5347734075070716,0.4859999999995974
梯度下降,14,-0.4400058514141651,0.5562777086116073,0.5344983659905651,0.5372386340999342,0.48499999999956867
梯度下降,15,-0.44262894021856575,0.5603302581253518,0.5361470651369378,0.5397013954664405,0.4839999999995399
梯度下降,16,-0.4452628575200276,0.5644221353512942,0.5377322729849805,0.5421616940712854,0.48299999999951115
梯度下降,17,-0.4479097124851507,0.5685536245847995,0.5392565776616283,0.5446195323774989,0.4819999999994824
梯度下降,18,-0.4505714909859157,0.5727250034013305,0.540722457040343,0.5470749128456127,0.48099999999945364
梯度下降,19,-0.4532500650089456,0.5769365421668389,0.5421322831822835,0.5495278379331054,0.4799999999994249
梯度下降,20,-0.45594720124478966,0.5811885035337245,0.5434883266869912,0.5519783100955129,0.47899999999939613
梯度下降,21,-0.4586645689092472,0.585481141921806,0.544792760935386,0.5544263317858729,0.4779999999993674
梯度下降,22,-0.461403746848125,0.5898147029829155,0.5460476662150766,0.5568719054544475,0.4769999999993386
梯度下降,23,-0.464166229975065,0.5941894230505058,0.547255033719662,0.5593150335492787,0.47599999999930986
梯度下降,24,-0.46695343508858156,0.598605528575102,0.5484167694139725,0.5617557185161877,0.4749999999992811
梯度下降,25,-0.46976670611123766,0.6030632355430994,0.5495346977646971,0.5641939627979426,0.47399999999925235
梯度下降,26,-0.47260731879471796,0.6075627488839048,0.5506105653327871,0.5666297688356465,0.4729999999992236
梯度下降,27,-0.4754764849270547,0.6121042618637547,0.551646044225695,0.5690631390670715,0.47199999999919484
梯度下降,28,-0.47837535607696363,0.6166879554601041,0.5526427354141656,0.5714940759283245,0.4709999999991661
梯度下降,29,-0.4813050269133399,0.6213139977315758,0.5536021719096946,0.5739225818527367,0.46999999999913733
梯度下降,30,-0.484266538125655,0.6259825431687567,0.5545258218095923,0.5763486592711415,0.4689999999991086
梯度下降,31,-0.4872608789776694,0.6306937320352808,0.5554150912104867,0.5787723106121518,0.4679999999990798
梯度下降,32,-0.4902889895218557,0.6354476897008627,0.5562713269944282,0.5811935383018825,0.46699999999905106
梯度下降,33,-0.49335176249659585,0.6402445259604534,0.557095819490649,0.5836123447639503,0.4659999999990223
梯度下降,34,-0.49645004493223927,0.645084334346457,0.5578898050171417,0.5860287324194742,0.46499999999899355
梯度下降,35,-0.49958463948674325,0.6499671914326206,0.5586544683070511,0.5884427036873525,0.4639999999989648
梯度下降,36,-0.5027563055300696,0.6548931561290434,0.5593909448237673,0.5908542609839857,0.46299999999893604
梯度下降,37,-0.5059657599999582,0.6598622689769069,0.560100322967771,0.5932634067229987,0.4619999999989073
梯度下降,38,-0.5092136780409281,0.6648745514309935,0.5607836461818945,0.595670143316906,0.46099999999887853
梯度下降,39,-0.5125006934488738,0.6699300051466457,0.561441914956939,0.5980744731737815,0.4599999999988498
梯度下降,40,-0.5158273989344382,0.6750286112611743,0.5620760887448668,0.6004763987011437,0.458999999998821
梯度下降,41,-0.5191943462195183,0.6801703296777646,0.5626870877795671,0.6028759223026254,0.45799999999879226
梯度下降,42,-0.5226020459815631,0.685355098347717,0.5632757948137996,0.6052730463807494,0.4569999999987635
梯度下降,43,-0.526050967661959,0.6905828325637904,0.563843056772872,0.6076677733347076,0.45599999999873475
梯度下降,44,-0.5295415391448539,0.695853424249659,0.5643896863311566,0.6100601055614714,0.454999999998706
梯度下降,45,-0.5330741463277721,0.7011667412665785,0.5649164634125565,0.6124500454563471,0.45399999999867724
梯度下降,46,-0.5366491325881211,0.7065226267244924,0.5654241366210284,0.6148375954113101,0.4529999999986485
梯度下降,47,-0.5402667981625348,0.7119208983075715,0.5659134246028259,0.6172227578161156,0.45199999999861973
梯度下降,48,-0.5439273994474777,0.7173613476119662,0.5663850173465708,0.6196055350588532,0.450999999998591
梯度下降,49,-0.5476311482355591,0.7228437395052074,0.5668395774189312,0.621985929524282,0.4499999999985622
梯度下降,50,-0.5513782108957281,0.7283678115011512,0.5672777411458991,0.6243639435954957,0.44899999999797835
梯度下降,51,-0.5551687075091697,0.7339332731587929,0.5677001197352256,0.6267395796522575,0.4479999999979496
梯度下降,52,-0.5590027109734803,0.7395398055055065,0.5681073003494514,0.62911284007322,0.44699999999792084
梯度下降,53,-0.5628802460827798,0.7451870604880391,0.5684998471267573,0.6314837272331504,0.4459999999978921
梯度下降,54,-0.5668012885980883,0.7508746604540368,0.5688783021557393,0.6338522435062606,0.4449999999978633
梯度下降,55,-0.5707657643141528,0.7566021976652122,0.5692431864035559,0.6362183912628767,0.44399999999783457
梯度下降,56,-0.5747735481393389,0.7623692338499239,0.5695950006035506,0.6385821728722147,0.4429999999978058
梯度下降,57,-0.5788244631910586,0.7681752997890641,0.5699342261012426,0.6409435906996048,0.44199999999777706
梯度下降,58,-0.5829182799260255,0.774019894949129,0.5702613256592377,0.6433026471092669,0.4409999999983034
梯度下降,59,-0.5870547153092548,0.7799024871574796,0.5705767442304994,0.6456593444620902,0.43999999999827466
梯度下降,60,-0.5912334320323156,0.7858225123214542,0.5708809096910956,0.6480136851178537,0.4389999999982459
梯度下降,61,-0.5954540377961112,0.7917793742041042,0.5711742335429699,0.6503656714330059,0.43799999999821715
梯度下降,62,-0.5997160846616012,0.7977724442465579,0.5714571115850715,0.6527153057623298,0.4369999999981884
梯度下降,63,-0.6040190684823044,0.803801061449227,0.5717299245545089,0.6550625904567227,0.43599999999815964
梯度下降,64,-0.6083624284269479,0.8098645323090787,0.5719930387366174,0.6574075278665266,0.4349999999981309
梯度下降,65,-0.6127455465996573,0.8159621308168603,0.5722468065511572,0.659750120338753,0.4339999999981021
梯度下降,66,-0.6171677477701096,0.8220930985187165,0.5724915671107551,0.6620903702187482,0.43299999999807337
梯度下降,67,-0.6216282992172676,0.8282566446394242,0.5727276467554772,0.6644282798485275,0.4319999999980446
梯度下降,68,-0.6261264106984427,0.8344519462727957,0.5729553595640864,0.6667638515689962,0.43099999999801586
梯度下降,69,-0.630661234549421,0.8406781486414712,0.5731750078425408,0.6690970877177289,0.4299999999979871
梯度下降,70,-0.635231865922657,0.846934365424989,0.5733868825913975,0.6714279906300797,0.42899999999795835
梯度下降,71,-0.6398373431704276,0.8532196791600217,0.5735912639543423,0.6737565626397375,0.4279999999979296
梯度下降,72,-0.6444766483753402,0.859533141709445,0.5737884216445162,0.6760828060776154,0.42699999999790084
梯度下降,73,-0.6491487080377563,0.865873774807457,0.5739786153558519,0.6784067232718511,0.4259999999978721
梯度下降,74,-0.6538523939206605,0.8722405706757526,0.5741620951555388,0.6807283165494722,0.4249999999978433
梯度下降,75,-0.6585865240555087,0.8786324927140816,0.5743391018581674,0.6830475882330651,0.42399999999781457
梯度下降,76,-0.6633498639133524,0.8850484762635276,0.5745098673882172,0.6853645406452165,0.4229999999977858
梯度下降,77,-0.6681411277386765,0.8914874294419501,0.5746746151231159,0.6876791761051821,0.42199999999775706
梯度下降,78,-0.6729589800495633,0.8979482340515927,0.5748335602235306,0.6899914969294425,0.4209999999977283
梯度下降,79,-0.677802037303437,0.9044297465588542,0.5749869099514466,0.6923015054328125,0.41999999999769955
梯度下降,80,-0.6826688697256218,0.9109307991440048,0.5751348639727034,0.6946092039278868,0.4189999999976708
梯度下降,81,-0.687558003295843,0.9174502008152947,0.575277614648428,0.6969145947239292,0.41799999999764204
梯度下降,82,-0.6924679218941491,0.9239867385918972,0.5754153473137009,0.6992176801296486,0.4169999999976133
梯度下降,83,-0.6973970695968099,0.9305391787495783,0.5755482405451202,0.7015184624498678,0.4159999999975845
梯度下降,84,-0.7023438531182822,0.9371062681252091,0.575676466418928,0.7038169439877446,0.4149999999981109
梯度下降,85,-0.7073066443946356,0.9436867354828955,0.5758001907558148,0.7061131270442162,0.4139999999980821
梯度下降,86,-0.7122837832947508,0.9502792929295119,0.5759195733579521,0.7084070139174443,0.41299999999805337
梯度下降,87,-0.7172735804566824,0.9568826373829715,0.5760347682354778,0.7106986069039252,0.4119999999974695
梯度下降,88,-0.7222743202365368,0.9634954520876811,0.5761459238252105,0.7129879082973796,0.41099999999744075
梯度下降,89,-0.727284263760216,0.9701164081710729,0.5762531831982605,0.7152749203893078,0.409999999997412
梯度下降,90,-0.7323016520657428,0.9767441662373306,0.5763566842626462,0.717559645469545,0.40899999999738323
梯度下降,91,-0.7373247093280313,0.9833773779988615,0.5764565599548073,0.7198420858245953,0.4079999999973545
梯度下降,92,-0.7423516461470389,0.9900146879294187,0.5765529384239017,0.7221222437387427,0.4069999999973257
梯度下降,93,-0.7473806628942504,0.9966547349466444,0.576645943212772,0.7244001214951608,0.40599999999729697
梯度下降,94,-0.7502208003115225,1.0,0.5767356934255892,0.7266757213742476,0.4049999999972682
梯度下降,95,-0.7508380792584731,1.0,0.576822303894386,0.7289490456530707,0.40399999999668434
梯度下降,96,-0.7514542749915172,1.0,0.5769058853355986,0.7312200966081424,0.4029999999966556
梯度下降,97,-0.752069393067811,1.0,0.5769865445016116,0.733488876512089,0.40199999999718194
梯度下降,98,-0.7526834387984244,1.0,0.5770643843289731,0.735755387635872,0.4009999999971532
梯度下降,99,-0.7532964172648445,1.0,0.5771395040755074,0.738019632248232,0.39999999999712443
共轭梯度,0,-0.6055742505942284,0.8500000000100645,0.8000000000086267,0.7500000000071889,0.39999999999712443
共轭梯度,1,-0.776656751303443,1.0,1.0,1.0,0.10843248696556818
共轭梯度,2,-0.7874999999999999,1.0,1.0,1.0,0.0
共轭梯度,3,-0.7874999999999999,1.0,1.0,1.0,0.0
共轭梯度,4,-0.7874999999999999,1.0,1.0,1.0,0.0
共轭梯度,5,-0.7874999999999999,1.0,1.0,1.0,0.0
共轭梯度,6,-0.7874999999999999,1.0,1.0,1.0,0.0
共轭梯度,7,-0.7874999999999999,1.0,1.0,1.0,0.0
共轭梯度,8,-0.7874999999999999,1.0,1.0,1.0,0.0
共轭梯度,9,-0.7874999999999999,1.0,1.0,1.0,0.0
共轭梯度,10,-0.7874999999999999,1.0,1.0,1.0,0.0
共轭梯度,11,-0.7874999999999999,1.0,1.0,1.0,0.0
BFGS,0,-0.39999999999999997,0.5,0.5,0.5,0.5
差分进化,0,-0.8491317165863663,1.0,0.5792197052759799,1.0,0.0
改进变尺度,0,-0.6591296341567243,1.0,0.408301141626081,0.6204827822039906,0.5161163769969244
改进变尺度,1,-0.772402734528895,1.0,0.8034510437074383,0.8872952065988732,0.0
改进变尺度,2,-0.8243357913355802,1.0,0.46441603873129716,1.0,0.0
改进变尺度,3,-0.8243357913355802,1.0,0.46441603873129716,1.0,0.0
改进变尺度,4,-0.8243357913355802,1.0,0.46441603873129716,1.0,0.0
改进变尺度,5,-0.8243357913355802,1.0,0.46441603873129716,1.0,0.0
改进变尺度,6,-0.8365088211073395,1.0,0.4967649294123734,1.0,0.0
改进变尺度,7,-0.8365088211073395,1.0,0.4967649294123734,1.0,0.0
改进变尺度,8,-0.8365088211073395,1.0,0.4967649294123734,1.0,0.0
改进变尺度,9,-0.8365088211073395,1.0,0.4967649294123734,1.0,0.0
改进变尺度,10,-0.842812150698742,1.0,0.6423007232438479,1.0,0.0
改进变尺度,11,-0.842812150698742,1.0,0.6423007232438479,1.0,0.0
改进变尺度,12,-0.842812150698742,1.0,0.6423007232438479,1.0,0.0
改进变尺度,13,-0.842812150698742,1.0,0.6423007232438479,1.0,0.0
改进变尺度,14,-0.842812150698742,1.0,0.6423007232438479,1.0,0.0
改进变尺度,15,-0.7874999999999999,1.0,1.0,1.0,0.0
改进变尺度,16,-0.7874999999999999,1.0,1.0,1.0,0.0
改进变尺度,17,-0.7874999999999999,1.0,1.0,1.0,0.0
改进变尺度,18,-0.7874999999999999,1.0,1.0,1.0,0.0
改进变尺度,19,-0.8461009444937709,1.0,0.6222200400052946,1.0,0.0
改进变尺度,20,-0.7888486885821073,1.0,0.7751745732748732,0.9241777092354247,0.0
改进变尺度,21,-0.7923971743435919,0.9641162081919528,0.7325969336404736,1.0,0.019861072066239036
改进变尺度,22,-0.8350049615064457,1.0,0.6765088787313122,1.0,0.0
改进变尺度,23,-0.8350049615064457,1.0,0.6765088787313122,1.0,0.0
改进变尺度,24,-0.8350049615064457,1.0,0.6765088787313122,1.0,0.0
改进变尺度,25,-0.8486587142157509,1.0,0.5959030629524467,1.0,0.0
改进变尺度,26,-0.8486587142157509,1.0,0.5959030629524467,1.0,0.0
改进变尺度,27,-0.8315070300275407,1.0,0.5406187880125543,1.0,0.14939501040145545
改进变尺度,28,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
改进变尺度,29,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
改进变尺度,30,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
改进变尺度,31,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
改进变尺度,32,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
改进变尺度,33,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
改进变尺度,34,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
改进变尺度,35,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
改进变尺度,36,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
改进变尺度,37,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0
